split,class_i,branch_i,kind_i,class_j,branch_j,kind_j,center_l2_distance,center_sq_distance,subspace_overlap_fro,mean_cos2_principal,min_principal_angle_deg
0,0,0,root,0,1,extra,0.4685690203570408,0.21955692683835693,5.019379521984545,0.39365891852684065,2.3113736660606454
0,0,0,root,0,2,extra,0.264313093211726,0.06986141124315057,5.383351776400769,0.452819942944958,2.7097701381913613
0,0,0,root,1,0,root,0.3909034508829833,0.15280550791222494,3.4479679142929096,0.24767672370819582,12.770434072398517
0,0,0,root,1,1,extra,0.5636156058002294,0.31766255110155955,3.2639540336728476,0.22194574862352612,13.314855276214486
0,0,0,root,1,2,extra,0.5580643351776994,0.3114358021973277,2.899128660878487,0.17510306234014772,14.585478203792302
0,0,0,root,2,0,root,0.5672881814527231,0.3218158808159377,3.339372676596677,0.17424077926875706,16.66321632403321
0,0,0,root,2,1,extra,0.472033038919127,0.22281518983122606,3.2648407995177027,0.16654977259680293,17.66372592016052
0,0,0,root,2,2,extra,0.9765576920887145,0.9536649259776366,2.5258258962128077,0.09968431965592552,16.409665596197193
0,0,0,root,3,0,root,0.7493366307412734,0.5615053861706838,2.848652604444675,0.16905878460019652,23.806763241953043
0,0,0,root,3,1,extra,1.187041557531422,1.4090676593066238,2.0815109904092233,0.09026433339988305,39.90096725247154
0,0,0,root,3,2,extra,0.8315342851809153,0.6914492674313357,2.533179163298326,0.13368743069518352,26.98746450753492
0,0,0,root,4,0,root,0.8358179951138132,0.6985917209560744,2.681097213794492,0.11231691046588421,28.574026013299026
0,0,0,root,4,1,extra,1.226805637464403,1.5050520721144398,1.814966595675369,0.05147037099089749,42.440249849969256
0,0,0,root,4,2,extra,0.7014731434198237,0.49206457093928846,2.5479093420957395,0.1014350314927929,30.10875527193598
0,0,1,extra,0,2,extra,0.33297161617840343,0.11087009718045801,5.856380403657026,0.5358936161302816,0.0
0,0,1,extra,1,0,root,0.6591853540266972,0.43452533096330215,3.363731962044509,0.2357227648433293,13.966878597614134
0,0,1,extra,1,1,extra,0.3994944427280267,0.15959580977057658,3.3100406300128262,0.2282576869236607,12.797564875993542
0,0,1,extra,1,2,extra,0.8645132895868047,0.7473832278721987,2.751189282506536,0.15768838475372568,13.547442686009905
0,0,1,extra,2,0,root,0.8895795521418728,0.7913517795889349,2.8198599832516344,0.12424391133037357,17.75744743999493
